title,description,issue,volume,series,publisher,date,creators,format,value
"Anarky, Part 2: The Anarkist Manifesto",N/A,41,1,Batman: Shadow of the Bat,DC Comics,2014-02-23,Alan Grant | John Paul Leon | Ray McCarthy,,0
"Feedback, Feedback: The Day The Music Died",N/A,42,1,Batman: Shadow of the Bat,DC Comics,2014-02-23,Alan Grant | Joe Staton | Scott Hanna,,0
"No Man's Land - No Law & A New Order, Part 2: Strategy",N/A,83,1,Batman: Shadow of the Bat,DC Comics,2014-02-23,Bob Gale | Alex Maleev | Wayne Faucher,,0
"No Man's Land - Fear of Faith, Part 2: To Serve And Protect",N/A,84,1,Batman: Shadow of the Bat,DC Comics,2014-02-23,Devin K. Grayson | Dale Eaglesham | Sean Parsons,,0
"No Man's Land - Bread And Circuses, Part 2",N/A,85,1,Batman: Shadow of the Bat,DC Comics,2014-02-23,Ian Edginton | D'Israeli,,0
No Man's Land - Home Sweet Home,N/A,86,1,Batman: Shadow of the Bat,DC Comics,2014-02-23,Lisa Klink | Guy Davis,,0
"No Man's Land - Claim Jumping, Part 2",N/A,87,1,Batman: Shadow of the Bat,DC Comics,2014-02-23,Greg Rucka | Mike Deodato Jr. | Wayne Faucher,,0
"No Man's Land - Fruit Of The Earth, Part One",N/A,88,1,Batman: Shadow of the Bat,DC Comics,2014-02-23,Greg Rucka | Dan Jurgens | Bill Sienkiewicz,,0
No Man's Land - The King,N/A,89,1,Batman: Shadow of the Bat,DC Comics,2014-02-23,Ian Edginton | Jason Minor | Sal Buscema,,0
"No Man's Land - Low Road To Golden Mountain, Part 2: Positive Role Model",N/A,90,1,Batman: Shadow of the Bat,DC Comics,2014-02-23,Larry Hama | Paul Gulacy | Randy Emberlin,,0
"No Man's Land - Underground Railroad, Part 2",N/A,91,1,Batman: Shadow of the Bat,DC Comics,2014-02-23,Steve Barnes | Paul Ryan | Andy Lanning,,0
No Man's Land - Stormy Weather,N/A,92,1,Batman: Shadow of the Bat,DC Comics,2014-02-23,Devin K. Grayson | Dale Eaglesham | John Floyd,,0
No Man's Land - Assembly Redux,N/A,93,1,Batman: Shadow of the Bat,DC Comics,2014-02-23,Greg Rucka | Paul Ryan | Bill Sienkiewicz,,0
"No Man's Land - Endgame, Epilogue: Days Of Auld Lang Syne",N/A,94,1,Batman: Shadow of the Bat,DC Comics,2014-02-23,Greg Rucka | Pablo Raimondi | Sean Parsons,,0
Elseworlds - The Tyrant,N/A,2,1,Batman: Shadow of the Bat Annual,DC Comics,2014-02-23,Alan Grant | Tom Raney | Joe Staton,,0
N/A,Variant Kaare Andrews Cover,1B,1,Batman: The Smile Killer,DC Comics,2020-12-04,Jeff Lemire | Andrea Sorrentino,,0
N/A,Regular Dave Johnson Cover,1A,1,Batman: The Adventures Continue,DC Comics,2020-12-04,Paul Dini | Alan Burnett | Ty Templeton,,0
"Mentors, Part 1",Regular Sean Murphy Cover,2A,1,Batman: The Adventures Continue,DC Comics,2020-12-05,Paul Dini | Alan Burnett | Ty Templeton,,0
"Mentors, Part 2",Variant Dan Hipp Cover,3B,1,Batman: The Adventures Continue,DC Comics,2020-12-05,Paul Dini | Alan Burnett | Ty Templeton,,0
The Darker Knight,Regular James Harren Cover,4A,1,Batman: The Adventures Continue,DC Comics,2020-12-05,Paul Dini | Alan Burnett | Ty Templeton,,0
Red Son Rising,Regular Paolo Rivera & Joe Rivera Cover,5A,1,Batman: The Adventures Continue,DC Comics,2020-12-05,Paul Dini | Alan Burnett | Ty Templeton,,0
Red Son Rising,Regular Khary Randolph Cover,6A,1,Batman: The Adventures Continue,DC Comics,2020-12-05,Paul Dini | Alan Burnett | Ty Templeton,,0
Red Son Rising,Regular Becky Cloonan Cover,7A,1,Batman: The Adventures Continue,DC Comics,2020-12-05,Paul Dini | Alan Burnett | Ty Templeton,,0
Secret Santa,Variant Cover by Ronnie del Carmen,8B,1,Batman: The Adventures Continue,DC Comics,2021-06-02,Paul Dini | Alan Burnett | Ty Templeton,,0
"Court Fight, Part One",Regular Riley Rossmo Cover,1A,1,Batman: The Adventures Continue - Season Two,DC Comics,2021-06-15,Paul Dini | Alan Burnett | Monica Kubina,,0
Court Fight,N/A,2A,1,Batman: The Adventures Continue - Season Two,DC Comics,2021-07-09,Paul Dini | Alan Burnett | Ty Templeton,,0
N/A,Chan Chau Variant,3B,1,Batman: The Adventures Continue - Season Two,DC Comics,2021-08-20,Paul Dini | Alan Burnett | Ty Templeton,,0
The Muscle,Rob Guillory Regular Cover,4A,1,Batman: The Adventures Continue - Season Two,DC Comics,2021-10-08,Paul Dini | Alan Burnett | Jordan Gibson,,0
"Mayor Mayhem, Part One",Regular Jamal Campbell Cover,5A,1,Batman: The Adventures Continue - Season Two,DC Comics,2021-10-08,Paul Dini | Alan Burnett | Rick Burchett,,0
N/A,Yanick Paquette Card Stock Variant,6B,1,Batman: The Adventures Continue - Season Two,DC Comics,2021-11-03,Paul Dini | Alan Burnett | Rick Burchett,,0
N/A,Regular Dave Johnson Cover,1A,1,Batman: The Audio Adventures Special,DC Comics,2021-10-16,N/A,,0
Ordeal,N/A,1,1,Batman: The Cult,DC Comics,2014-02-23,Jim Starlin | Bernie Wrightson,,0
Escape,N/A,3,1,Batman: The Cult,DC Comics,2014-02-23,Jim Starlin | Bernie Wrightson,,0
The Dark Knight Returns #1-4,Warner Books,TP B,1,Batman: The Dark Knight Returns,DC Comics,2014-02-23,Frank Miller | Klaus Janson,,0
The Dark Knight Falls,N/A,4,1,Batman: The Dark Knight Returns,DC Comics,2014-02-23,Frank Miller | Klaus Janson,,0
Chill In The Air,N/A,0A,2,Batman: The Dark Knight,DC Comics,2014-02-23,Gregg Hurwitz | Mico Suayan | Juan Jose Ryp,,0
Night of the Owls - I Can No Longer Be Broken,David Finch Regular Cover,9A,2,Batman: The Dark Knight,DC Comics,2014-02-23,Judd Winick | David Finch | Richard Friend,,0
Cycle Of Violence,David Finch Regular Cover,11A,2,Batman: The Dark Knight,DC Comics,2014-02-23,Gregg Hurwitz | David Finch,,0
The Undead Past,N/A,13A,2,Batman: The Dark Knight,DC Comics,2014-02-23,Gregg Hurwitz | David Finch,,0
The Twilight Kingdom,David Finch Regular Cover,14A,2,Batman: The Dark Knight,DC Comics,2014-02-23,Gregg Hurwitz | David Finch,,0
Cross To Bear,David Finch Regular Cover,15A,2,Batman: The Dark Knight,DC Comics,2014-02-23,Gregg Hurwitz | David Finch,,0
Touch Of Crazy,Ethan Van Sciver Regular Cover,16A,2,Batman: The Dark Knight,DC Comics,2014-02-23,Gregg Hurwitz | Ethan Van Sciver,,0
Sweet Obsession,Ethan Van Sciver Regular Cover,17A,2,Batman: The Dark Knight,DC Comics,2014-02-23,Gregg Hurwitz | Ethan Van Sciver,,0
Devil's Bargain,Ethan Van Sciver Regular Cover,18A,2,Batman: The Dark Knight,DC Comics,2014-02-23,Gregg Hurwitz | Ethan Van Sciver,,0
Pool Of Tears,Ethan Van Sciver Regular Cover,19A,2,Batman: The Dark Knight,DC Comics,2014-02-23,Gregg Hurwitz | Szymon Kudranski,,0
"Down, Down, Down.",Ethan Van Sciver Regular Cover,20A,2,Batman: The Dark Knight,DC Comics,2014-02-23,Gregg Hurwitz | Szymon Kudranski,,0
Mad,N/A,21A,2,Batman: The Dark Knight,DC Comics,2014-02-23,Gregg Hurwitz | Ethan Van Sciver,,0
Forever Evil,3D Cover,23.1A,2,Batman: The Dark Knight,DC Comics,2014-02-23,Gail Simone | Derlis Santacruz | Karl Kesel,,0
Forever Evil - Mr. Freeze,3D Cover,23.2A,2,Batman: The Dark Knight,DC Comics,2014-02-23,Justin Gray | Jimmy Palmiotti | Jason Masters,,0
Forever Evil - Not Just Another Pretty Face,3-D Regular Cover,23.3A,2,Batman: The Dark Knight,DC Comics,2014-02-23,John Layman | Cliff Richards,,0
The Meat & The Marrow,2D Cover,23.4B,2,Batman: The Dark Knight,DC Comics,2014-02-23,Ann Nocenti | Georges Jeanty | Dexter Vines,,0
Captive Audience,N/A,24A,2,Batman: The Dark Knight,DC Comics,2014-02-23,Gregg Hurwitz | Alex Maleev,,0
Full House,N/A,25A,2,Batman: The Dark Knight,DC Comics,2014-02-23,Gregg Hurwitz | Alex Maleev,,0
Once Upon A Midnight Dreary,Alex Maleev Regular Cover,1,2 Annual,Batman: The Dark Knight,DC Comics,2014-02-23,Gregg Hurwitz | Szymon Kudranski,,0
"Metal - Dark Nights, Fear of the Dark",Regular Jason Fabok Foil-Stamped Cover,1A,1,Batman: The Dawnbreaker,DC Comics,2018-01-05,Sam Humphries | Ethan Van Sciver,,0
N/A,Andy Kubert Variant Card Stock Cover,1D,1,Batman: The Detective,DC Comics,2021-06-13,Thomas Taylor | Andy Kubert,,0
N/A,Cover B Variant Andy Kubert Card Stock Cover,2B,1,Batman: The Detective,DC Comics,2021-06-13,Thomas Taylor | Andy Kubert,,0
Part Three,N/A,3A,1,Batman: The Detective,DC Comics,2021-06-15,Tom Taylor | Andy Kubert | Sandra Hope,,0
N/A,Regular Andy Kubert Cover,4A,1,Batman: The Detective,DC Comics,2021-07-16,Tom Taylor | Andy Kubert | Sandra Hope,,0
Part Five,Regular Adam Kubert Cover,5A,1,Batman: The Detective,DC Comics,2021-09-24,Tom Taylor | Adam Kubert | Sandra Hope,,0
N/A,Andy Kubert Regular Cover,6A,1,Batman: The Detective,DC Comics,2021-12-01,Tom Taylor | Andy Kubert | Sandra Hope,,0
Dark Nights: Metal - Symphony of Destruction,Regular Jason Fabok Foil-Stamped Cover,1,1,Batman: The Devastator,DC Comics,2018-02-13,"Frank Tieri | James Tynion, IV | Tony S. Daniel",,0
"Metal - Dark Nights, Rime of the Ancient Mariner",Regular Jason Fabok Foil-Stamped Cover,1A,1,Batman: The Drowned,DC Comics,2018-02-13,Daniel Abnett | Tyler Kirkham | Philip Tan,,0
N/A,Lee Bermejo Variant Cover,1B,1,Batman: The Imposter,DC Comics,2021-10-16,Mattson Tomlin | Andrea Sorrentino,,0
N/A,Andrea Sorrentino Regular Cover,2A,1,Batman: The Imposter,DC Comics,2021-11-12,Mattson Tomlin | Andrea Sorrentino,,0
Joker War - A Serious House / Family / The Symbol / Ashes Of Eden / Clown Hunt,Regular Ben Oliver Cover,1A,1,Batman: The Joker: War Zone,DC Comics,2020-12-04,"John Ridley | Joshua Williamson | James Tynion, IV",,0
N/A,N/A,1B,1,Batman: The Long Halloween Special,DC Comics,2021-11-03,Jeph Loeb | Tim Sale,,0
"Metal - Rise of the Dark Knights, Wrath Child",Regular Jason Fabok Foil-Stamped Cover,1A,1,Batman: The Merciless,DC Comics,2018-02-13,Peter J. Tomasi | Francis Manapul,,0
"Metal - Rise of the Dark Knights, Heavy Metal",Regular Jason Fabok Foil-Stamped Cover,1A,1,Batman: The Murder Machine,DC Comics,2018-01-05,"Frank Tieri | James Tynion, IV | Riccardo Federici",,0
"Metal - Dark Nights: Metal Tie-In, Ride the Lightning",Regular Jason Fabok Foil-Stamped Cover,1A,1,Batman: The Red Death,DC Comics,2018-01-05,Joshua Williamson | Carmine Di Giandomenico,,0
N/A,Hood Variant,1E,1,Batman: Three Jokers (2020),DC Comics,2020-12-03,Geoff Johns | Jason Fabok,,0
N/A,Jason Fabok Cover,2B,1,Batman: Three Jokers (2020),DC Comics,2020-12-03,Geoff Johns | Jason Fabok,,0
N/A,Premium Var G Killing Joke Hawaiian Shirt & Camera,3E,1,Batman: Three Jokers (2020),DC Comics,2020-12-03,Geoff Johns | Jason Fabok,,0
Cheer Part 1 / New Roots / The Caretaker Part 1 / The Long Con Part 1,Regular Hicham Habchi Cover,1A,1,Batman: Urban Legends,DC Comics,2021-06-13,Brandon Thomas | Chip Zdarsky | Matthew Rosenberg,,0
N/A,Francesco Mattina Cover,2B,1,Batman: Urban Legends,DC Comics,2021-06-13,Brandon Thomas | Chip Zdarsky | Cecil Castellucci,,0
N/A,Simone Bianchi Variant Edition,3C,1,Batman: Urban Legends,DC Comics,2021-06-13,Brandon Thomas | Chip Zdarsky | Matthew Rosenberg,,0
N/A,Regular Jorge Molina Cover,4A,1,Batman: Urban Legends,DC Comics,2021-06-15,Chip Zdarsky | Matthew Rosenberg | Meghan Fitzmartin,,0
N/A,Variant Tyler Kirkham Cover,5C,1,Batman: Urban Legends,DC Comics,2021-07-16,Chip Zdarsky | Marguerite Bennett | Matthew Rosenberg,,0
N/A,N/A,6C,1,Batman: Urban Legends,DC Comics,2021-08-20,Chip Zdarsky | Joshua Williamson | Matthew Rosenberg,,0
N/A,Hicham Habchi Variant Cover,7B,1,Batman: Urban Legends,DC Comics,2021-09-17,Jackson Lanzing | Collin Kelly | Max Dunbar,,0
N/A,Khary Randolph Card Stock Variant,8B,1,Batman: Urban Legends,DC Comics,2021-10-16,Brandon Thomas | Dan Watters | Alyssa Wong,,0
N/A,Riccardo Federici Variant,9C,1,Batman: Urban Legends,DC Comics,2021-11-12,Brandon Thomas | Dan Watters | Sam Johns,,0
N/A,Sean Murphy & Matt Hollingsworth Regular Cover,1A,1,Batman: White Knight,DC Comics,2018-05-25,Sean Gordon Murphy,,0
N/A,Sean Murphy & Matt Hollingsworth Variant Cover,1B,1,Batman: White Knight,DC Comics,2018-05-25,Sean Gordon Murphy,,0
N/A,Sean Murphy Convention Exclusive Silver Foil Variant Cover,1G,1,Batman: White Knight,DC Comics,2020-03-20,Sean Gordon Murphy,,0
N/A,Sean Murphy & Matt Hollingsworth Regular Cover,2A,1,Batman: White Knight,DC Comics,2020-03-20,Sean Gordon Murphy,,0
N/A,Sean Murphy & Matt Hollingsworth 2nd Print Variant Cover,3C,1,Batman: White Knight,DC Comics,2020-03-20,Sean Gordon Murphy,,0
N/A,Sean Murphy & Matt Hollingsworth Variant Cover,4B,1,Batman: White Knight,DC Comics,2020-03-20,Sean Gordon Murphy,,0
N/A,Sean Murphy & Matt Hollingsworth Variant Cover,5B,1,Batman: White Knight,DC Comics,2020-03-20,Sean Gordon Murphy,,0
N/A,Sean Murphy & Matt Hollingsworth Regular Cover,6A,1,Batman: White Knight,DC Comics,2020-03-20,Sean Gordon Murphy,,0
N/A,Sean Murphy & Matt Hollingsworth Variant Cover,7B,1,Batman: White Knight,DC Comics,2020-03-20,Sean Gordon Murphy,,0
N/A,Sean Murphy & Matt Hollingsworth Regular Cover,8A,1,Batman: White Knight,DC Comics,2020-03-20,Sean Gordon Murphy,,0
Book One,Matteo Scalera Variant,1B,1,Batman: White Knight Presents: Harley Quinn,DC Comics,2021-06-01,Matteo Scalera,,0
Book Two,N/A,2B,1,Batman: White Knight Presents: Harley Quinn,DC Comics,2021-06-01,Katana Collins | Matteo Scalera,,0
Book Three,Cvr B Matteo Scalera Variant,3B,1,Batman: White Knight Presents: Harley Quinn,DC Comics,2021-06-01,Katana Collins | Matteo Scalera,,0
Book Four,N/A,4B,1,Batman: White Knight Presents: Harley Quinn,DC Comics,2021-06-01,Katana Collins | Matteo Scalera,,0
Book Five,Variant Matteo Scalera Cover,5B,1,Batman: White Knight Presents: Harley Quinn,DC Comics,2021-06-01,Matteo Scalera,,0
N/A,Variant Matteo Scalera Cover,6B,1,Batman: White Knight Presents: Harley Quinn,DC Comics,2021-06-01,Matteo Scalera,,0
N/A,N/A,TP,1,Batman: Year Two,DC Comics,2014-02-23,Mike W. Barr | Alan Davis | Todd McFarlane,,0
"War of Eden, War Of Eden: Part 1",N/A,1,1,Battlestar Galactica: War of Eden,Maximum Press,2014-02-23,Rob Liefeld | Robert Place Napton | Hector Gomez,,0
"War of Eden, War Of Eden: Part 2",N/A,2,1,Battlestar Galactica: War of Eden,Maximum Press,2014-02-23,Rob Liefeld | Robert Place Napton | Hector Gomez,,0
"War of Eden, War Of Eden: Part 3",N/A,3,1,Battlestar Galactica: War of Eden,Maximum Press,2014-02-23,Rob Liefeld | Robert Place Napton | Hector Gomez,,0
Night of the Owls - You Have Been Judged Unworthy,N/A,9,1,Batwing,DC Comics,2014-02-23,Judd Winick | Marcus To | Ryan Winn,,0
Not All That Glitters,N/A,27,1,Batwing,DC Comics,2014-02-23,Justin Gray | Jimmy Palimotti | Scott Kolins,,0
"Futures End, Leviathan Rises",3D Cover,1A,1,Batwing: Futures End,DC Comics,2014-10-04,Justin Gray | Jimmy Palmiotti | Eduardo Pansica,,0
Interlude,N/A,0A,1,Batwoman,DC Comics,2014-02-23,J.H. Williams III | W. Haden Blackman,,0
"Hydrology, Part 1: Leaching",2nd Printing Variant Cover,1B,1,Batwoman,DC Comics,2014-02-23,J.H. Williams III | W. Haden Blackman,,0
"Hydrology, Part 2: Infiltration",N/A,2,1,Batwoman,DC Comics,2014-02-23,J.H. Williams III | W. Haden Blackman,,0
"Hydrology, Part 3: Gaining Stream",N/A,3,1,Batwoman,DC Comics,2014-02-23,J.H. Williams III | W. Haden Blackman,,0
"Hydrology, Part 4: Estuary",N/A,4,1,Batwoman,DC Comics,2014-02-23,J.H. Williams III | W. Haden Blackman,,0
"Hydrology, Part 5: Evapotranspiration",J.H. Williams III Regular Cover,5A,1,Batwoman,DC Comics,2014-02-23,J.H. Williams III | W. Haden Blackman,,0
"To Drown The World, Part One",J.H. Williams III Regular Cover,6A,1,Batwoman,DC Comics,2014-02-23,J.H. Williams III | W. Haden Blackman | Amy Reeder,,0
"To Drown The World, Part Two",N/A,7A,1,Batwoman,DC Comics,2014-02-23,J.H. Williams III | W. Haden Blackman | Amy Reeder,,0
"To Drown The World, Part Three",N/A,8A,1,Batwoman,DC Comics,2014-02-23,J.H. Williams III | W. Haden Blackman | Amy Reeder,,0
"To Drown The World, Part Four",Ben Oliver Regular Cover,9A,1,Batwoman,DC Comics,2014-02-23,J.H. Williams III | W. Haden Blackman | Trevor McCarthy,,0
"World's Finest, Part 1: Blood Tides",N/A,12A,1,Batwoman,DC Comics,2014-02-23,J.H. Williams III | W. Haden Blackman,,0
Deadly is the Night,Bombshells Variant Cover,32B,1 (2011),Batwoman,DC Comics,2015-12-13,Marc Andreyko | Jeremy Haun,,0
"The Many Arms of Death, Part 1: Sinnerman",Regular Steve Epting Cover,1A,2,Batwoman,DC Comics,2018-05-15,"James Tynion, IV | Marguerite Bennett | Steve Epting",,0
"The Many Arms of Death, Part 2: Running Up That Hill",Regular Steve Epting Cover,2A,2,Batwoman,DC Comics,2018-05-15,"James Tynion, IV | Marguerite Bennett | Steve Epting",,0
"The Many Arms of Death, Part 3: If I Had A Heart",Regular Steve Epting Cover,3A,2,Batwoman,DC Comics,2018-05-15,"James Tynion, IV | Marguerite Bennett | Steve Epting",,0
"The Many Arms of Death, Finale",Regular Steve Epting Cover,4A,2,Batwoman,DC Comics,2018-05-17,"James Tynion, IV | Marguerite Bennett | Steve Epting",,0
"The Many Arms of Death, Epilogue: Blinding",Regular Stephanie Hans Cover,5A,2,Batwoman,DC Comics,2018-05-17,"James Tynion, IV | Marguerite Bennett | Stephanie Hans",,0
Pax Batmana,Regular Eddy Barrows Cover,6A,2,Batwoman,DC Comics,2018-05-17,"James Tynion, IV | Marguerite Bennett | Renato Arlem",,0
"Fear and Loathing, Part One: Trippin' Bats",Regular Ben Oliver Cover,7A,2,Batwoman,DC Comics,2018-05-17,Marguerite Bennett | Fernando Blanco,,0
Wonderland,Regular Fernando Blanco Cover,8A,2,Batwoman,DC Comics,2018-05-17,Marguerite Bennett | Fernando Blanco,,0
"Fear and Loathing, Part Three: Stay High",Regular Fernando Blanco Cover,9A,2,Batwoman,DC Comics,2018-05-17,Marguerite Bennett | Fernando Blanco,,0
"Fear and Loathing, Finale: Kiss From A Rose",Regular Dan Panosian Cover,10A,2,Batwoman,DC Comics,2018-05-17,Marguerite Bennett | Marc Laming | Fernando Blanco,,0
Pygsty,Regular Bill Sienkiewicz Cover,11A,2,Batwoman,DC Comics,2018-05-17,Kate Perkins | Scott Godlewski,,0
Paradise Is Burning Down,Regular Dan Panosian Cover,12A,2,Batwoman,DC Comics,2018-05-17,Marguerite Bennett | Scott Godlewski,,0
"The Fall of the House of Kane, Part One",Regular Dan Panosian Cover,13A,2,Batwoman,DC Comics,2018-05-17,Marguerite Bennett | Fernando Blanco,,0
"The Fall of the House of Kane, Part Two",Regular Dan Panosian Cover,14A,2,Batwoman,DC Comics,2018-05-17,Marguerite Bennett | Fernando Blanco,,0
N/A,Regular Dan Panosian Cover,15A,2,Batwoman,DC Comics,2018-05-25,Marguerite Bennett | Fernando Blanco,,0
"The Fall of House Kane, Finale",Regular Dan Panosian Cover,16A,2,Batwoman,DC Comics,2018-07-15,Marguerite Bennett | Fernando Blanco,,0
"The Time of Your Life, Part One",Regular Dan Panosian Cover,17A,2,Batwoman,DC Comics,2018-08-03,Marguerite Bennett | Fernando Blanco,,0
"The Time of Your Life, Finale",Regular Dan Panosian Cover,18A,2,Batwoman,DC Comics,2019-08-24,Marguerite Bennett | Fernando Blanco,,0
N/A,Regular Steve Epting Cover,1A,1,Batwoman: Rebirth,DC Comics,2018-05-15,"James Tynion, IV | Marguerite Bennett | Steve Epting",,0
N/A,Jeremy Haun Cover,1A,1,Beauty,Image Comics,2015-08-21,Jeremy Haun | Jason A. Hurley,,0
The Official Movie Adaptation,Premium Edition,1,1,Beauty and the Beast (Disney),Disney Comics,2014-02-23,Bobbi J.G. Weiss | Colleen Doran | Dave Hunt,,0
Smile,J.G. Jones Regular Cover,1A,1,Before Watchmen: Comedian,DC Comics,2014-02-23,Brian Azzarello | Len Wein | John Higgins,,0
I Get Around,J.G. Jones Regular Cover,2A,1,Before Watchmen: Comedian,DC Comics,2014-02-23,Brian Azzarello | Len Wein | John Higgins,,0
Play With Fire,J.G. Jones Regular Cover,3A,1,Before Watchmen: Comedian,DC Comics,2014-02-23,Brian Azzarello | John Higgins | J.G. Jones,,0
Conquistador,N/A,4A,1,Before Watchmen: Comedian,DC Comics,2014-02-23,Brian Azzarello | John Higgins | J.G. Jones,,0
Kicks,N/A,5A,1,Before Watchmen: Comedian,DC Comics,2014-02-23,Brian Azzarello | J.G. Jones,,0
Eighties,N/A,6A,1,Before Watchmen: Comedian,DC Comics,2014-02-23,Brian Azzarello | J.G. Jones,,0
I Want To Be In Pictures,Steve Rude Regular Cover,1A,1,Before Watchmen: Dollar Bill,DC Comics,2014-02-23,Len Wein | Steve Rude,,0
What's In The Box?,Adam Hughes Regular Cover,1A,1,Before Watchmen: Dr. Manhattan,DC Comics,2014-02-23,John Higgins | J. Michael Straczynski | Adam Hughes,,0
One-Fifteen P.M.,N/A,2A,1,Before Watchmen: Dr. Manhattan,DC Comics,2014-02-23,John Higgins | J. Michael Straczynski | Adam Hughes,,0
Ego Sum,N/A,3A,1,Before Watchmen: Dr. Manhattan,DC Comics,2014-02-23,John Higgins | J. Michael Straczynski | Adam Hughes,,0
Change In Perspective,N/A,4A,1,Before Watchmen: Dr. Manhattan,DC Comics,2014-02-23,J. Michael Straczynski | Adam Hughes,,0
"The Minute of Truth, Chapter One: Eight Minutes",Darwyn Cooke Regular Cover,1A,1,Before Watchmen: Minutemen,DC Comics,2014-02-23,Darwyn Cooke | Len Wein | John Higgins,,0
"The Minute of Truth, Golden Years",Darwyn Cooke Regular Cover,2A,1,Before Watchmen: Minutemen,DC Comics,2014-02-23,Darwyn Cooke | Len Wein | John Higgins,,0
"The Minute of Truth, Child's Play",Darwyn Cooke Regular Cover,3A,1,Before Watchmen: Minutemen,DC Comics,2014-02-23,John Higgins | Darwyn Cooke,,0
"The Minute of Truth, Chapter Four: War Stories",N/A,4A,1,Before Watchmen: Minutemen,DC Comics,2014-02-23,Darwyn Cooke,,0
"The Minute of Truth, The Demon Core",N/A,5A,1,Before Watchmen: Minutemen,DC Comics,2014-02-23,John Higgins | Darwyn Cooke,,0
"The Minute of Truth, Chapter Six: The Last Minute",N/A,6A,1,Before Watchmen: Minutemen,DC Comics,2014-02-23,Darwyn Cooke,,0
"Forgive Me, Father, For I Have Sinned",Eduardo Risso Regular Cover,1A,1,Before Watchmen: Moloch,DC Comics,2014-02-23,John Higgins | J. Michael Straczynski | Eduardo Risso,,0
The Eleven-Thirty Absolution,N/A,2A,1,Before Watchmen: Moloch,DC Comics,2014-02-23,John Higgins | J. Michael Straczynski | Eduardo Risso,,0
No Such Thing As A Free Lunch,Andy Kubert Regular Cover,1A,1,Before Watchmen: Nite Owl,DC Comics,2014-02-23,Len Wein | J. Michael Straczynski | John Higgins,,0
Some Things Are Just Inevitable,N/A,2A,1,Before Watchmen: Nite Owl,DC Comics,2014-02-23,Len Wein | J. Michael Straczynski | John Higgins,,0
Thanks For Coming,N/A,3A,1,Before Watchmen: Nite Owl,DC Comics,2014-02-23,John Higgins | J. Michael Straczynski | Andy Kubert,,0
From One Nite Owl To Another,N/A,4A,1,Before Watchmen: Nite Owl,DC Comics,2014-02-23,J. Michael Straczynski | Andy Kubert | Bill Sienkiewicz,,0
I Met A Traveler...!,Jae Lee Regular Cover,1A,1,Before Watchmen: Ozymandias,DC Comics,2014-02-23,Len Wein | John Higgins | Jae Lee,,0
The Hand That Mocked Them...!,N/A,2A,1,Before Watchmen: Ozymandias,DC Comics,2014-02-23,Len Wein | John Higgins | Jae Lee,,0
The Heart That Fed...!,N/A,3A,1,Before Watchmen: Ozymandias,DC Comics,2014-02-23,John Higgins | Len Wein | Jae Lee,,0
Shattered Visage...!,N/A,4A,1,Before Watchmen: Ozymandias,DC Comics,2014-02-23,John Higgins | Len Wein | Jae Lee,,0
These Lifeless Things...!,N/A,5A,1,Before Watchmen: Ozymandias,DC Comics,2014-02-23,Len Wein | Jae Lee,,0
Damn Town,Lee Bermejo Regular Cover,1A,1,Before Watchmen: Rorschach,DC Comics,2014-02-23,Brian Azzarello | Lee Bermejo,,0
N/A,N/A,2A,1,Before Watchmen: Rorschach,DC Comics,2014-02-23,Brian Azzarello | John Higgins | Lee Bermejo,,0
N/A,N/A,3A,1,Before Watchmen: Rorschach,DC Comics,2014-02-23,Brian Azzarello | John Higgins | Lee Bermejo,,0
N/A,N/A,4A,1,Before Watchmen: Rorschach,DC Comics,2014-02-23,Brian Azzarello | Lee Bermejo,,0
Mean Goodbye,Amanda Conner Regular Cover,1A,1,Before Watchmen: Silk Spectre,DC Comics,2014-02-23,Darwyn Cooke | Amanda Conner | Len Wein,,0
Getting Into The World,Amanda Conner Regular Cover,2A,1,Before Watchmen: Silk Spectre,DC Comics,2014-02-23,Darwyn Cooke | Amanda Conner | Len Wein,,0
No Illusion,N/A,3A,1,Before Watchmen: Silk Spectre,DC Comics,2014-02-23,John Higgins | Darwyn Cooke | Amanda Conner,,0
The End Of The Rainbow,N/A,4A,1,Before Watchmen: Silk Spectre,DC Comics,2014-02-23,John Higgins | Darwyn Cooke | Amanda Conner,,0
"Argent Star, Part One",2nd Printing Daniel Warren Johnson Variant Cover,1K,1,Beta Ray Bill,Marvel Comics,2021-06-18,Daniel Warren Johnson,,0
"""Argent Star"", Argent Star, Part Two",Daniel Warren Johnson Standard Cover,2A,1,Beta Ray Bill,Marvel Comics,2021-06-13,Daniel Warren Johnson,,0
N/A,Regular Daniel Warren Johnson Cover,3A,1,Beta Ray Bill,Marvel Comics,2021-06-13,Daniel Warren Johnson,,0
N/A,Regular Daniel Warren Johnson Cover,4A,1,Beta Ray Bill,Marvel Comics,2021-07-03,Daniel Warren Johnson,,0
"Argent Star, Finale",Regular Daniel Warren Johnson Cover,5A,1,Beta Ray Bill,Marvel Comics,2021-08-01,Daniel Warren Johnson,,0
N/A,N/A,100,1,Betty & Veronica,Archie Comic Publications,2018-08-03,N/A,,0
N/A,Free Comic Book Day 2017 Edition,1AH,2,Betty & Veronica,Archie Comic Publications,2018-08-03,N/A,,0
N/A,Variant Kevin Wada Cover,2E,2,Betty & Veronica,Archie Comic Publications,2018-08-03,N/A,,0
